LAT,LON,YEAR,DOY,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M,PS,T2M_RANGE,ALLSKY_TOA_SW_DWN,ALLSKY_SFC_SW_DWN
15.65761,32.54961,2010,27,0,25.6,32.22,14.78,22.71,96.34,17.44,29.87,20.63
15.65761,32.54961,2010,28,0,23.24,33.59,14.92,23.72,96.21,18.66,30.39,21.21
15.65761,32.54961,2010,29,0,22.47,34.3,16.21,24.6,96.14,18.1,30.96,21.44
15.65761,32.54961,2010,30,0,22.11,37.6,17.69,27.08,96.1,19.91,30.04,21.16
15.65761,32.54961,2010,31,0,19.67,39.58,20.19,29.01,96.06,19.39,31.45,21.59
15.65761,32.54961,2010,32,0,17.54,39.21,19.73,28.82,96.04,19.48,31.52,21.83
15.65761,32.54961,2010,33,0,15.88,38.26,19.12,27.9,95.97,19.14,30.46,21.84
15.65761,32.54961,2010,34,0,12.73,33.47,17.56,24.39,96.11,15.9,30.88,22.01
15.65761,32.54961,2010,35,0,20.73,28.5,14.33,20.66,96.43,14.17,31.38,21.53
15.65761,32.54961,2010,36,0,19.46,27.48,12.33,19.13,96.47,15.15,31,22.4
15.65761,32.54961,2010,37,0,16.58,26.29,10.29,17.88,96.45,16,31.33,22.5
15.65761,32.54961,2010,38,0,14.85,28.11,11.1,19.11,96.43,17.01,32.04,22.07
15.65761,32.54961,2010,39,0,16.53,31.51,11.87,21.3,96.37,19.64,31.83,21.82
15.65761,32.54961,2010,40,0,11.77,32.48,15.03,22.63,96.33,17.45,31.32,21.53
15.65761,32.54961,2010,41,0,11.15,32.8,13.58,22.65,96.23,19.22,31.74,22.12
15.65761,32.54961,2010,42,0,11.93,35.05,16.27,24.88,96.17,18.78,32.21,22.04
15.65761,32.54961,2010,43,0,11.31,35.5,17.96,26.01,96.24,17.54,31.89,17.7
15.65761,32.54961,2010,44,0,16.24,36.41,17.95,26.43,96.15,18.46,31.88,21.66
15.65761,32.54961,2010,45,0,24.8,35.82,17.3,26.13,95.95,18.52,32.64,23.08
15.65761,32.54961,2010,46,0,21.25,36.78,17.89,27.2,95.84,18.89,32.38,21.97
15.65761,32.54961,2010,47,0,32.22,37.15,20.37,28.44,95.86,16.78,33.3,24.25
15.65761,32.54961,2010,48,0,28.98,38.19,21.23,29.25,95.99,16.95,33.39,23.18
15.65761,32.54961,2010,49,0,25.69,38.58,21.54,29.83,96.11,17.03,32.57,23.44
15.65761,32.54961,2010,50,0,22.36,38.71,21.46,29.45,96.11,17.25,33.26,23.58
15.65761,32.54961,2010,51,0,23.67,37.88,20.69,28.96,96.06,17.2,32.72,23.96
15.65761,32.54961,2010,52,0,22.98,38.46,21.46,29.26,95.96,17.01,32.87,23.85
15.65761,32.54961,2010,53,0,19.48,39.55,20.75,29.51,95.87,18.8,33.36,23.61
15.65761,32.54961,2010,54,0,17.8,39.69,20.3,29.33,95.85,19.39,33.38,23.78
15.65761,32.54961,2010,55,0,12.87,39.1,20.48,28.93,95.78,18.62,33.21,24.72
15.65761,32.54961,2010,56,0,13.45,38.29,19.97,28.71,95.84,18.32,33.68,23.81
15.65761,32.54961,2010,57,0,13.89,35.1,20.72,27.02,96.15,14.38,33.88,24.43
15.65761,32.54961,2010,58,0,11.83,31.92,15.49,22.84,96.4,16.43,34.72,24.6
15.65761,32.54961,2010,59,0,12.28,31.37,13.13,22.27,96.44,18.23,34.93,22.71
15.65761,32.54961,2010,60,0,16.85,32.14,16.12,23.94,96.47,16.03,34.33,22.82
15.65761,32.54961,2010,61,0,14.58,32.32,14.62,23.08,96.49,17.7,34.38,25.14
15.65761,32.54961,2010,62,0,16.96,34.37,15.67,24.64,96.37,18.7,35,25.47
15.65761,32.54961,2010,63,0,17.16,34.68,16.74,25.25,96.33,17.94,34.25,25.32
15.65761,32.54961,2010,64,0,11.59,35.77,17.09,25.75,96.26,18.68,35.5,25.77
15.65761,32.54961,2010,65,0,11.61,37.09,17.48,26.58,96.17,19.61,34.38,25.87
15.65761,32.54961,2010,66,0,15.95,38.02,16.94,27.52,96.08,21.08,34.71,26.12
15.65761,32.54961,2010,67,0,26.79,39.91,21.01,30.16,95.94,18.9,35.36,24.63
15.65761,32.54961,2010,68,0,19.23,41.4,22.03,31.49,95.85,19.37,35.95,25.39
15.65761,32.54961,2010,69,0,17.42,42.29,23.1,32.7,95.8,19.19,35,24.75
15.65761,32.54961,2010,70,0,15,42.58,25.32,33.38,95.81,17.26,35.22,25.12
15.65761,32.54961,2010,71,0,14.72,42.1,23.66,32.47,95.76,18.44,35.04,25.42
15.65761,32.54961,2010,72,0,12.14,42.91,24.04,33.14,95.65,18.87,35.2,24.96
15.65761,32.54961,2010,73,0,11.79,42.72,24.24,33.07,95.62,18.48,36.22,25.62
15.65761,32.54961,2010,74,0,12.07,43.26,24.34,33.47,95.66,18.92,36.2,25.31
15.65761,32.54961,2010,75,0,12.68,42.8,24.16,33.15,95.77,18.64,36.74,25.65
15.65761,32.54961,2010,76,0,13.89,41.45,22.94,31.64,95.78,18.51,35.7,26.18
15.65761,32.54961,2010,77,0,20.82,37.51,23.17,29.51,96.01,14.34,36.48,23.56
15.65761,32.54961,2010,78,0,22.02,35.63,19.66,27.01,96.25,15.97,36.69,25.11
15.65761,32.54961,2010,79,0,19.22,34.3,18.44,26.02,96.35,15.85,36.3,25.65
15.65761,32.54961,2010,80,0,14.81,34.7,18.97,26.27,96.32,15.73,36.79,25.29
15.65761,32.54961,2010,81,0,15.76,32.17,20.45,25.79,96.15,11.73,36.87,23.23
15.65761,32.54961,2010,82,0,12.01,33.17,18.7,25.44,95.99,14.46,37.08,25.02
15.65761,32.54961,2010,83,0,10.27,34.41,17.14,25.52,96.01,17.27,36.39,24.7
15.65761,32.54961,2010,84,0,8.63,34.7,18.35,26.01,96.17,16.35,36.96,26.09
15.65761,32.54961,2010,85,0,9.11,34.01,16.32,24.8,96.31,17.69,36.85,27.84
15.65761,32.54961,2010,86,0,13.06,32.44,15.34,23.65,96.31,17.1,36.96,27.62
15.65761,32.54961,2010,87,0,16.1,33.17,15.18,23.96,96.32,17.99,37.16,27.03
15.65761,32.54961,2010,88,0,11.46,34.47,15.72,24.83,96.35,18.75,38,27.27
15.65761,32.54961,2010,89,0,10.67,36.91,16.63,26.8,96.35,20.28,37.96,27.25
15.65761,32.54961,2010,90,0,11.42,36.93,18.05,27.42,96.31,18.88,36.88,26.97
15.65761,32.54961,2010,91,0,12.09,37.41,18.64,27.87,96.11,18.77,36.71,27.28
15.65761,32.54961,2010,92,0,10.4,39.57,19.29,29.24,95.87,20.28,37.5,27.19
15.65761,32.54961,2010,93,0,9.08,40.56,20.31,30.36,95.84,20.25,37,26.92
15.65761,32.54961,2010,94,0,7.94,41.21,21.54,31.32,95.87,19.67,38.04,26.62
15.65761,32.54961,2010,95,0,13.15,41.27,21.86,31.61,95.77,19.41,37.35,27.47
15.65761,32.54961,2010,96,0,19.98,40.79,23.79,32.19,95.72,17,38.55,26.77
15.65761,32.54961,2010,97,0,14.59,37.38,23.44,30.13,95.85,13.95,38.59,26.98
15.65761,32.54961,2010,98,0,11.21,38.03,21.41,29.76,95.96,16.61,37.57,27.28
15.65761,32.54961,2010,99,0,14.03,39.41,22.72,30.47,95.96,16.69,38.44,26.46
15.65761,32.54961,2010,100,0,15.4,39.82,22.59,30.73,95.78,17.23,37.88,26.95
15.65761,32.54961,2010,101,0,7.93,40.87,22.19,31.43,95.65,18.69,37.8,26.72
15.65761,32.54961,2010,102,0,9.14,41,23.96,31.93,95.73,17.05,38.08,26.5
15.65761,32.54961,2010,103,0,11.82,40.1,22.48,30.77,95.93,17.63,38.16,26.95
15.65761,32.54961,2010,104,0,10.79,39.1,20.81,29.67,95.93,18.29,38.67,27.33
15.65761,32.54961,2010,105,0,12.3,40.04,20.76,30.4,95.97,19.28,37.62,27.22
15.65761,32.54961,2010,106,0,11.31,41.33,22.6,31.77,96.03,18.73,37.79,28.24
15.65761,32.54961,2010,107,0,11.19,42.27,22.82,32.66,95.99,19.45,38.96,27.37
15.65761,32.54961,2010,108,0,12.89,42.42,24.64,33.23,95.99,17.78,38.04,27.41
15.65761,32.54961,2010,109,0,11.7,41.71,23.16,32.31,95.9,18.55,38.57,27
15.65761,32.54961,2010,110,0,9.41,42.61,22.88,32.54,95.82,19.72,38.08,27.27
15.65761,32.54961,2010,111,0,10.19,43.38,24,33.52,95.66,19.38,38.45,27.7
15.65761,32.54961,2010,112,0,13.77,42.82,25.91,34.09,95.74,16.91,38.46,27.54
15.65761,32.54961,2010,113,0,18.16,40.66,25.19,32.64,96.01,15.47,39.05,27.51
15.65761,32.54961,2010,114,0,11.56,39.28,22.79,30.7,96.01,16.49,37.75,27.83
15.65761,32.54961,2010,115,0,10.31,39.6,21.55,30.4,95.88,18.05,37.72,27.81
15.65761,32.54961,2010,116,0,8.11,40.59,21.29,30.93,95.83,19.3,38.42,28.15
15.65761,32.54961,2010,117,0,7.43,42.46,21.81,32.25,95.84,20.64,38.83,27.73
15.65761,32.54961,2010,118,0.02,10.36,43,23.65,33.43,95.77,19.35,38.3,27.27
15.65761,32.54961,2010,119,0.02,15.06,44.47,25.55,35.59,95.54,18.92,38.88,26.14
15.65761,32.54961,2010,120,0.38,20.8,44.25,30,36.98,95.4,14.25,38.79,25.31
15.65761,32.54961,2010,121,0,23.66,42.6,29.46,35.94,95.53,13.14,37.79,26.26
15.65761,32.54961,2010,122,0,29.13,42.28,29.07,36,95.72,13.21,39.11,24.99
15.65761,32.54961,2010,123,0,17.49,41.64,28.12,34.68,95.8,13.52,38.83,26.74
15.65761,32.54961,2010,124,0,9.56,40.25,24.61,32.24,95.81,15.63,38.58,27.55
15.65761,32.54961,2010,125,0,7.7,39.84,22.54,31.04,95.79,17.29,39,28.17
15.65761,32.54961,2010,126,0,9.01,39.93,22.16,30.74,95.83,17.77,38.44,27.89
15.65761,32.54961,2010,127,0,6.38,40.95,21.15,30.92,95.74,19.81,39,28.78
15.65761,32.54961,2010,128,0,6.13,42.07,21.55,32.12,95.71,20.52,38.46,29.37
15.65761,32.54961,2010,129,0,6.05,42.91,22.67,33.26,95.65,20.25,38.57,29.07
15.65761,32.54961,2010,130,0,6.09,43.47,23.53,34.04,95.64,19.95,39.35,27.98
15.65761,32.54961,2010,131,0,8.05,43.6,27.72,35.27,95.68,15.89,38.92,27.54
15.65761,32.54961,2010,132,0,10.24,42.91,24.7,33.55,95.77,18.21,38.92,27.12
15.65761,32.54961,2010,133,0,7.69,41.38,23.9,32.32,95.91,17.47,38.46,27.94
15.65761,32.54961,2010,134,0,6.03,41.49,22.26,31.49,95.88,19.24,39.08,27.82
15.65761,32.54961,2010,135,0,6.44,42.35,21.57,32.16,95.76,20.78,38.42,28.88
15.65761,32.54961,2010,136,0,7.24,42.17,23.5,33.33,95.69,18.67,38.3,27.03
15.65761,32.54961,2010,137,0,7.22,42.67,25.67,34.34,95.7,17,38.29,27.39
15.65761,32.54961,2010,138,0,9.01,44.73,27.71,36.76,95.55,17.02,38.33,24.73
15.65761,32.54961,2010,139,0,11.49,45.57,27.21,36.54,95.47,18.36,39.13,27.48
15.65761,32.54961,2010,140,0.01,19.92,44.02,27.33,35.95,95.6,16.69,38.76,26.56
15.65761,32.54961,2010,141,0,17.26,43.85,28.05,36.18,95.65,15.8,39.26,26.93
15.65761,32.54961,2010,142,0,14.01,44.45,27.41,35.87,95.65,17.04,38.42,27.52
15.65761,32.54961,2010,143,0.01,18.06,43.36,25.84,34.62,95.79,17.52,39.26,27.44
15.65761,32.54961,2010,144,0,12.1,42.92,26.96,34.84,95.81,15.96,37.78,27.39
15.65761,32.54961,2010,145,0,11.74,42.99,26.52,34.58,95.74,16.48,39.08,27.52
15.65761,32.54961,2010,146,0,11.66,43.65,26.27,34.89,95.65,17.38,37.75,27.41
15.65761,32.54961,2010,147,0.21,17.33,44.51,26.77,36.24,95.59,17.74,38.58,26.71
15.65761,32.54961,2010,148,0.31,31.94,42.99,30.74,36.51,95.82,12.25,38.78,26.49
15.65761,32.54961,2010,149,0.06,23.48,42.68,29.85,36.36,95.82,12.83,38.85,22.52
15.65761,32.54961,2010,150,0.24,14.83,43.32,28.69,36,95.74,14.62,39.14,27.07
15.65761,32.54961,2010,151,0.01,20.73,43.3,28.24,35.81,95.77,15.06,38.96,26.71
15.65761,32.54961,2010,152,0,16.27,44.2,28.52,36.27,95.77,15.68,38.48,27.05
15.65761,32.54961,2010,153,0,14.4,44.13,27.11,35.91,95.73,17.03,38.48,27.1
15.65761,32.54961,2010,154,0.02,21.89,42.91,29.54,35.76,95.82,13.37,38.58,25.63
15.65761,32.54961,2010,155,0.01,29.84,42.67,28.48,35.69,95.98,14.19,38.57,26.38
15.65761,32.54961,2010,156,0.14,27,41.06,29.9,35.17,96.09,11.16,38.29,24.46
15.65761,32.54961,2010,157,0,19.17,43.11,28.19,35.49,95.93,14.91,38.26,26.02
15.65761,32.54961,2010,158,0.01,12.67,43.72,26.85,35.38,95.87,16.88,37.79,26.17
15.65761,32.54961,2010,159,0.02,14.51,43.62,26.49,35.33,95.87,17.14,38.78,26.1
15.65761,32.54961,2010,160,0.05,21.7,43.14,28.71,35.76,95.93,14.43,39.04,25.96
15.65761,32.54961,2010,161,0,13.77,42.04,27.62,34.8,95.98,14.42,38.22,26.38
15.65761,32.54961,2010,162,0,11.09,42.2,25.65,34.3,95.88,16.55,38.91,27.24
15.65761,32.54961,2010,163,0,10.28,43.12,25.97,34.95,95.78,17.15,38.12,27.69
15.65761,32.54961,2010,164,0.01,13.31,43.29,25.99,35.09,95.82,17.3,37.87,27.05
15.65761,32.54961,2010,165,0,18.8,42.6,26.47,34.91,95.82,16.13,38.04,26.23
15.65761,32.54961,2010,166,0,20.6,43.15,27.12,35.25,95.77,16.03,38.7,26.4
15.65761,32.54961,2010,167,0,12.47,43.23,27.18,35.34,95.68,16.05,37.87,27.27
15.65761,32.54961,2010,168,0,13.7,42.91,27.46,35.37,95.65,15.45,39.08,26.38
15.65761,32.54961,2010,169,0,17.01,42.99,28.33,35.99,95.69,14.66,38.55,26.28
15.65761,32.54961,2010,170,0,30.99,40.03,28.05,34.24,95.86,11.98,38.17,25.57
15.65761,32.54961,2010,171,0.02,27.32,42.23,28.82,35.37,95.89,13.41,37.55,26.19
15.65761,32.54961,2010,172,0,21.24,43.31,29.03,36.06,95.73,14.27,37.87,23.4
15.65761,32.54961,2010,173,0.06,34.05,41.81,28.6,34.62,95.7,13.22,38.16,25.72
15.65761,32.54961,2010,174,0.23,33.56,42.11,28.99,35.63,95.67,13.12,38.6,25.48
15.65761,32.54961,2010,175,0.28,34.56,41.8,30.4,35.74,95.67,11.4,38.88,25.03
15.65761,32.54961,2010,176,0.03,44.78,37.99,28.63,33.03,95.77,9.35,38.92,25.39
15.65761,32.54961,2010,177,0.04,39.32,40.4,27.78,33.9,95.85,12.62,38.07,24.8
15.65761,32.54961,2010,178,0,28.96,42.14,27.92,35.01,95.76,14.23,38.26,26.19
15.65761,32.54961,2010,179,0,16.75,41.53,27.59,34.27,95.82,13.94,38.14,25.24
15.65761,32.54961,2010,180,0,18.52,41.09,26.51,33.77,95.93,14.59,38.91,26.17
15.65761,32.54961,2010,181,0.14,30.5,40.66,27.63,33.85,96,13.03,38.91,26.3
15.65761,32.54961,2010,182,0,20.18,42.74,27.38,35.06,95.77,15.36,37.88,25.74
15.65761,32.54961,2010,183,0,12.91,43.16,26.4,34.96,95.65,16.76,37.65,26.53
15.65761,32.54961,2010,184,0,16.35,41.92,26.28,34.67,95.64,15.64,37.5,26.11
15.65761,32.54961,2010,185,2.63,28.24,40.85,27.31,33.94,95.75,13.54,38.76,24.86
15.65761,32.54961,2010,186,0.05,43.33,38.09,27.78,32.38,95.98,10.31,38.48,24.8
15.65761,32.54961,2010,187,0.04,38.73,37.99,26.73,32.63,95.99,11.26,38.38,25.1
15.65761,32.54961,2010,188,0,29.37,40.62,27.45,34.09,95.85,13.17,38.84,24.96
15.65761,32.54961,2010,189,0,17.53,42.77,28.11,35.46,95.74,14.67,38.96,25.26
15.65761,32.54961,2010,190,0.01,26.96,41.52,28.01,34.69,95.76,13.51,37.84,24.98
15.65761,32.54961,2010,191,0.05,19.72,42.95,28.47,35.72,95.63,14.48,37.45,26.26
15.65761,32.54961,2010,192,0.43,21.74,42.55,28.79,33.84,95.62,13.76,37.74,22.24
15.65761,32.54961,2010,193,1.08,30.88,38.8,27.83,33.55,95.66,10.97,38.24,18.74
15.65761,32.54961,2010,194,0.08,33.19,39.54,28.23,33.19,95.73,11.31,38.52,24.34
15.65761,32.54961,2010,195,0.98,41.05,37.2,27.85,32.33,95.57,9.35,37.85,20.91
15.65761,32.54961,2010,196,1.73,56.73,31.23,26.54,28.84,95.71,4.69,38.17,14.78
15.65761,32.54961,2010,197,3.04,61.69,33.05,24.58,28.64,96.03,8.47,38.19,24.08
15.65761,32.54961,2010,198,1.84,53.73,35.6,25.17,30.15,96.17,10.43,39,24.53
15.65761,32.54961,2010,199,2.6,60.42,31.51,25.73,28.57,96.16,5.78,38.02,18.55
15.65761,32.54961,2010,200,1.82,69.57,28.12,24.95,26.31,96.25,3.17,38.46,17.56
15.65761,32.54961,2010,201,1.71,67.2,31.18,24.19,27.13,96.21,7,38.31,17.3
15.65761,32.54961,2010,202,0.44,61.52,32.69,23.96,28.08,96.02,8.72,38.25,25.19
15.65761,32.54961,2010,203,0.33,47.95,36.54,24.36,30.24,95.8,12.18,38.37,24.23
15.65761,32.54961,2010,204,0.58,51.25,35.97,25.33,30.51,95.95,10.65,38.96,23.95
15.65761,32.54961,2010,205,0.73,60.38,32.12,25.5,28.22,96.13,6.62,38.18,15.5
15.65761,32.54961,2010,206,0.43,55.52,34.2,24.05,28.97,95.99,10.15,38.09,25.73
15.65761,32.54961,2010,207,0.22,56.11,34.06,24.57,29.06,96.02,9.49,38.81,25.69
15.65761,32.54961,2010,208,0.3,53.49,34.8,24.42,29.49,96.25,10.37,38.16,13.83
15.65761,32.54961,2010,209,0.14,47.02,36.6,25.06,30.36,96.12,11.54,38.74,21.43
15.65761,32.54961,2010,210,0.29,46.3,38.19,24.59,30.84,95.86,13.6,37.79,25.42
15.65761,32.54961,2010,211,0.6,49.87,35.05,25.69,30.17,95.84,9.37,38.36,11.6
15.65761,32.54961,2010,212,1.01,45.56,36.86,25.78,31.16,95.9,11.08,37.76,24.73
15.65761,32.54961,2010,213,0.54,42.09,38.81,25.46,32.42,95.91,13.34,38.85,25.98
15.65761,32.54961,2010,214,1.14,43.58,38.55,27.47,32.84,95.95,11.08,37.68,23.9
15.65761,32.54961,2010,215,2.09,57.03,33.51,27.15,29.98,96.01,6.36,37.46,25.18
15.65761,32.54961,2010,216,0.84,48.02,37.75,25.5,31.27,95.93,12.26,38.41,23.87
15.65761,32.54961,2010,217,0.72,49.18,35.65,26.61,30.79,96.04,9.04,38.38,18.95
15.65761,32.54961,2010,218,0.48,42.6,38.12,26.33,32.02,96.11,11.78,38.08,24.62
15.65761,32.54961,2010,219,0.45,39.29,40.15,26.88,33.71,96.01,13.27,38.78,25.18
15.65761,32.54961,2010,220,0.47,44.4,38.39,28.29,32.97,95.76,10.11,38.14,22.92
15.65761,32.54961,2010,221,1.77,48.69,38.85,27.05,31.77,95.78,11.8,38.88,24.91
15.65761,32.54961,2010,222,1.47,57.39,34.24,26.2,29.88,95.86,8.03,37.59,23.15
15.65761,32.54961,2010,223,1.16,54.51,35.69,25.33,29.93,96.06,10.35,38.17,25.44
15.65761,32.54961,2010,224,1.38,57.11,34.41,24.8,29.22,96.15,9.61,37.78,25.36
15.65761,32.54961,2010,225,1.07,55.33,35.45,24.59,29.9,96.09,10.86,37.4,24.6
15.65761,32.54961,2010,226,0.87,43.35,39.18,24.83,31.96,95.89,14.35,37.95,25.68
15.65761,32.54961,2010,227,0.71,39.4,38.87,25.77,31.58,95.82,13.09,37.79,25.28
15.65761,32.54961,2010,228,0.42,49.33,37.08,25.01,30.75,95.94,12.06,38.52,23.79
15.65761,32.54961,2010,229,1.97,52.08,35.96,25.26,30.15,95.94,10.7,38.9,25.58
15.65761,32.54961,2010,230,0.63,44.56,38.85,25.79,31.97,95.68,13.06,38.73,25.39
15.65761,32.54961,2010,231,0.78,44.28,37.67,26.01,31.68,95.73,11.66,37.55,25.49
15.65761,32.54961,2010,232,0.6,53.79,33.96,26.69,30.03,95.99,7.26,37.84,16.78
15.65761,32.54961,2010,233,0.44,50.55,36.93,24.8,30.17,95.86,12.12,37.58,21.03
15.65761,32.54961,2010,234,0.51,50.06,36.7,25.24,30.59,95.55,11.46,38.71,25.67
15.65761,32.54961,2010,235,0.66,59.27,35.39,25.93,30,95.69,9.46,37.43,17.11
15.65761,32.54961,2010,236,1.16,49.84,36.86,25.18,30.7,95.98,11.68,38.52,24.88
15.65761,32.54961,2010,237,1.66,58.09,32.7,25.82,28.84,96.07,6.88,37.93,22.6
15.65761,32.54961,2010,238,1.26,59.66,34.09,24.98,28.95,95.87,9.1,37.96,24.51
15.65761,32.54961,2010,239,2.13,61.41,33.35,25.09,29.08,95.86,8.25,38.33,24.06
15.65761,32.54961,2010,240,1.31,64.95,31.52,24.22,27.82,96.06,7.29,37.81,12.39
15.65761,32.54961,2010,241,0.1,54.97,35.19,24.52,30.06,95.99,10.67,38.17,24.33
15.65761,32.54961,2010,242,0.1,43.72,39.32,26.23,32.21,95.74,13.09,37.19,25.34
15.65761,32.54961,2010,243,0.15,45.93,38.01,25.92,31.17,95.7,12.09,37.9,21.44
15.65761,32.54961,2010,244,0.11,48.82,38.76,24.44,31.23,95.78,14.31,37.75,24.43
15.65761,32.54961,2010,245,0.35,54.79,34.65,26.24,30.32,96.05,8.42,36.92,24.52
15.65761,32.54961,2010,246,5.92,56.19,34.76,25.28,29.91,96.1,9.48,37.7,24.73
15.65761,32.54961,2010,247,2.9,48.83,36.51,25.88,30.11,95.91,10.63,37.52,24.78
15.65761,32.54961,2010,248,2.62,38.97,38.74,23.47,30.99,95.88,15.27,37.18,25.05
15.65761,32.54961,2010,249,0.98,46.64,37.99,24.23,30.73,95.94,13.75,36.7,24.9
15.65761,32.54961,2010,250,1.88,43.53,38.46,24.93,31.39,95.9,13.53,37.04,24.11
15.65761,32.54961,2010,251,0.2,43.9,39.29,24.85,31.77,95.89,14.44,37.05,25.09
15.65761,32.54961,2010,252,0.1,50.35,36.58,25.66,30.22,95.97,10.91,36.5,24.36
15.65761,32.54961,2010,253,0.18,44.39,39.48,24.62,31.79,95.79,14.86,37.12,23.93
15.65761,32.54961,2010,254,0.04,41.66,38.77,25.81,31.92,95.77,12.97,36.83,24.69
15.65761,32.54961,2010,255,0.13,41.53,38.69,25.71,31.98,95.86,12.98,37.12,19.94
15.65761,32.54961,2010,256,0.62,42.93,37.18,25.21,31.34,95.93,11.97,36.21,24.45
15.65761,32.54961,2010,257,1.42,41.97,38.67,26.36,31.96,95.84,12.31,36.83,16.76
15.65761,32.54961,2010,258,0.71,46.93,37.62,25.4,31,95.87,12.22,37,24.92
15.65761,32.54961,2010,259,1.35,45.32,37.89,25.9,31.6,95.92,11.98,36.35,23.58
15.65761,32.54961,2010,260,1.71,35.45,38.98,26.55,32.21,96.01,12.43,37.19,24.64
15.65761,32.54961,2010,261,0.01,31.88,39.79,24.36,31.99,95.89,15.43,36.45,18.03
15.65761,32.54961,2010,262,0.1,30.55,39.58,24.5,32.18,95.71,15.07,36.45,24.63
15.65761,32.54961,2010,263,0.18,41.52,39.29,25.59,32.36,95.78,13.69,35.77,24.36
15.65761,32.54961,2010,264,0.14,30.9,41.17,25.45,33.54,95.72,15.72,36.23,24.41
15.65761,32.54961,2010,265,0.25,43.4,38.9,27.12,32.49,95.84,11.77,36.59,24.19
15.65761,32.54961,2010,266,0.12,42.57,37.7,27.09,31.94,95.95,10.62,36.64,23.28
15.65761,32.54961,2010,267,0.13,35.22,38.71,25.5,32.37,95.82,13.21,35.42,22.76
15.65761,32.54961,2010,268,0.19,35.92,40.41,24.62,32.94,95.8,15.79,35.92,24.14
15.65761,32.54961,2010,269,0.4,45.34,38.37,26.45,32.2,96.01,11.92,35.25,24.02
15.65761,32.54961,2010,270,0.2,37.87,39.82,26.52,33.46,96.03,13.3,35.78,21.93
15.65761,32.54961,2010,271,0,27.79,42.01,26.93,34.17,95.81,15.08,36,21.71
15.65761,32.54961,2010,272,0,29.46,41.66,25.24,33.55,95.61,16.41,36.09,24.35
15.65761,32.54961,2010,273,0,34.32,40.47,26.45,33.97,95.72,14.01,35.96,23.72
15.65761,32.54961,2010,274,0,36.15,39.17,28.75,34.2,95.73,10.42,35.74,22.17
15.65761,32.54961,2010,275,0,31.89,40.63,28,34.57,95.8,12.62,35.5,23.96
15.65761,32.54961,2010,276,0.01,28.18,41.2,27.41,34.26,95.84,13.79,34.83,23.76
15.65761,32.54961,2010,277,0,26.2,41.87,26.69,34.18,95.83,15.18,34.32,23.9
15.65761,32.54961,2010,278,0.01,24.97,41.85,25.99,33.99,95.8,15.86,34.35,23.69
