LAT,LON,YEAR,MO,DY,T2M_RANGE,T2MWET,T2M_MAX,T2M_MIN,T2M,PRECTOT,QV2M,RH2M
15.55131,32.53211,2010,6,4,14.19,14.9,42.67,28.48,35.69,0.01,11.37,29.84
15.55131,32.53211,2010,6,5,11.16,12.35,41.06,29.9,35.17,0.14,9.98,27
15.55131,32.53211,2010,6,6,14.91,7.17,43.11,28.19,35.49,0,7.21,19.17
15.55131,32.53211,2010,6,7,16.88,0.99,43.72,26.85,35.38,0.01,4.73,12.67
15.55131,32.53211,2010,6,8,17.14,2.87,43.62,26.49,35.33,0.02,5.41,14.51
15.55131,32.53211,2010,6,9,14.43,9.27,43.14,28.71,35.76,0.05,8.29,21.7
15.55131,32.53211,2010,6,10,14.42,3.15,42.04,27.62,34.8,0,4.98,13.77
15.55131,32.53211,2010,6,11,16.55,-0.2,42.2,25.65,34.3,0,3.9,11.09
15.55131,32.53211,2010,6,12,17.15,-0.71,43.12,25.97,34.95,0,3.75,10.28
15.55131,32.53211,2010,6,13,17.3,2.01,43.29,25.99,35.09,0.01,4.9,13.31
15.55131,32.53211,2010,6,14,16.13,6.25,42.6,26.47,34.91,0,6.86,18.8
15.55131,32.53211,2010,6,15,16.03,7.56,43.15,27.12,35.25,0,7.66,20.6
15.55131,32.53211,2010,6,16,16.05,2.22,43.23,27.18,35.34,0,4.66,12.47
15.55131,32.53211,2010,6,17,15.45,3.41,42.91,27.46,35.37,0,5.13,13.7
15.55131,32.53211,2010,6,18,14.66,6.9,42.99,28.33,35.99,0,6.59,17.01
15.55131,32.53211,2010,6,19,11.98,14.12,40.03,28.05,34.24,0,10.92,30.99
15.55131,32.53211,2010,6,20,13.41,13.2,42.23,28.82,35.37,0.02,10.24,27.32
15.55131,32.53211,2010,6,21,14.27,9.55,43.31,29.03,36.06,0,8.27,21.24
15.55131,32.53211,2010,6,22,13.22,16.3,41.81,28.6,34.62,0.06,12.28,34.05
15.55131,32.53211,2010,6,23,13.12,16.99,42.11,28.99,35.63,0.23,12.8,33.56
15.55131,32.53211,2010,6,24,11.4,17.49,41.8,30.4,35.74,0.28,13.27,34.56
15.55131,32.53211,2010,6,25,9.35,19.38,37.99,28.63,33.03,0.03,14.79,44.78
15.55131,32.53211,2010,6,26,12.62,18.01,40.4,27.78,33.9,0.04,13.61,39.32
15.55131,32.53211,2010,6,27,14.23,13.2,42.14,27.92,35.01,0,10.65,28.96
15.55131,32.53211,2010,6,28,13.94,4.33,41.53,27.59,34.27,0,5.89,16.75
15.55131,32.53211,2010,6,29,14.59,4.88,41.09,26.51,33.77,0,6.33,18.52
15.55131,32.53211,2010,6,30,13.03,13.7,40.66,27.63,33.85,0.14,10.49,30.5
15.55131,32.53211,2010,7,1,15.36,7.99,42.74,27.38,35.06,0,7.43,20.18
15.55131,32.53211,2010,7,2,16.76,2.29,43.16,26.4,34.96,0,4.72,12.91
15.55131,32.53211,2010,7,3,15.64,5,41.92,26.28,34.67,0,5.89,16.35
15.55131,32.53211,2010,7,4,13.54,12.01,40.85,27.31,33.94,2.63,9.79,28.24
15.55131,32.53211,2010,7,5,10.31,18.24,38.09,27.78,32.38,0.05,13.75,43.33
15.55131,32.53211,2010,7,6,11.26,16.69,37.99,26.73,32.63,0.04,12.46,38.73
15.55131,32.53211,2010,7,7,13.17,13.27,40.62,27.45,34.09,0,10.25,29.37
15.55131,32.53211,2010,7,8,14.67,7.03,42.77,28.11,35.46,0,6.6,17.53
15.55131,32.53211,2010,7,9,13.51,12.42,41.52,28.01,34.69,0.01,9.74,26.96
15.55131,32.53211,2010,7,10,14.48,8.37,42.95,28.47,35.72,0.05,7.54,19.72
15.55131,32.53211,2010,7,11,13.76,8.55,42.55,28.79,33.84,0.43,7.49,21.74
15.55131,32.53211,2010,7,12,10.97,13.98,38.8,27.83,33.55,1.08,10.49,30.88
15.55131,32.53211,2010,7,13,11.31,14.55,39.54,28.23,33.19,0.08,11.04,33.19
15.55131,32.53211,2010,7,14,9.35,17.39,37.2,27.85,32.33,0.98,13.05,41.05
15.55131,32.53211,2010,7,15,4.69,19.38,31.23,26.54,28.84,1.73,14.77,56.73
15.55131,32.53211,2010,7,16,8.47,20.55,33.05,24.58,28.64,3.04,15.83,61.69
15.55131,32.53211,2010,7,17,10.43,19.69,35.6,25.17,30.15,1.84,15.01,53.73
15.55131,32.53211,2010,7,18,5.78,20.14,31.51,25.73,28.57,2.6,15.42,60.42
15.55131,32.53211,2010,7,19,3.17,20.29,28.12,24.95,26.31,1.82,15.55,69.57
15.55131,32.53211,2010,7,20,7,20.52,31.18,24.19,27.13,1.71,15.76,67.2
15.55131,32.53211,2010,7,21,8.72,19.97,32.69,23.96,28.08,0.44,15.28,61.52
15.55131,32.53211,2010,7,22,12.18,17.9,36.54,24.36,30.24,0.33,13.51,47.95
15.55131,32.53211,2010,7,23,10.65,19.3,35.97,25.33,30.51,0.58,14.65,51.25
15.55131,32.53211,2010,7,24,6.62,19.82,32.12,25.5,28.22,0.73,15.11,60.38
15.55131,32.53211,2010,7,25,10.15,19.15,34.2,24.05,28.97,0.43,14.52,55.52
15.55131,32.53211,2010,7,26,9.49,19.4,34.06,24.57,29.06,0.22,14.74,56.11
15.55131,32.53211,2010,7,27,10.37,19.02,34.8,24.42,29.49,0.3,14.37,53.49
15.55131,32.53211,2010,7,28,11.54,17.73,36.6,25.06,30.36,0.14,13.29,47.02
15.55131,32.53211,2010,7,29,13.6,17.94,38.19,24.59,30.84,0.29,13.49,46.3
15.55131,32.53211,2010,7,30,9.37,18.54,35.05,25.69,30.17,0.6,13.99,49.87
15.55131,32.53211,2010,7,31,11.08,17.97,36.86,25.78,31.16,1.01,13.51,45.56
15.55131,32.53211,2010,8,1,13.34,17.84,38.81,25.46,32.42,0.54,13.4,42.09
15.55131,32.53211,2010,8,2,11.08,18.76,38.55,27.47,32.84,1.14,14.21,43.58
15.55131,32.53211,2010,8,3,6.36,20.54,33.51,27.15,29.98,2.09,15.81,57.03
15.55131,32.53211,2010,8,4,12.26,18.87,37.75,25.5,31.27,0.84,14.33,48.02
15.55131,32.53211,2010,8,5,9.04,18.83,35.65,26.61,30.79,0.72,14.26,49.18
15.55131,32.53211,2010,8,6,11.78,17.67,38.12,26.33,32.02,0.48,13.23,42.6
15.55131,32.53211,2010,8,7,13.27,17.88,40.15,26.88,33.71,0.45,13.44,39.29
15.55131,32.53211,2010,8,8,10.11,19.21,38.39,28.29,32.97,0.47,14.61,44.4
15.55131,32.53211,2010,8,9,11.8,19.53,38.85,27.05,31.77,1.77,14.98,48.69
15.55131,32.53211,2010,8,10,8.03,20.5,34.24,26.2,29.88,1.47,15.85,57.39
15.55131,32.53211,2010,8,11,10.35,19.66,35.69,25.33,29.93,1.16,15.06,54.51
15.55131,32.53211,2010,8,12,9.61,19.81,34.41,24.8,29.22,1.38,15.13,57.11
15.55131,32.53211,2010,8,13,10.86,19.97,35.45,24.59,29.9,1.07,15.26,55.33
15.55131,32.53211,2010,8,14,14.35,17.73,39.18,24.83,31.96,0.87,13.45,43.35
15.55131,32.53211,2010,8,15,13.09,15.52,38.87,25.77,31.58,0.71,11.96,39.4
15.55131,32.53211,2010,8,16,12.06,18.73,37.08,25.01,30.75,0.42,14.29,49.33
15.55131,32.53211,2010,8,17,10.7,19.17,35.96,25.26,30.15,1.97,14.59,52.08
15.55131,32.53211,2010,8,18,13.06,18.28,38.85,25.79,31.97,0.63,13.87,44.56
15.55131,32.53211,2010,8,19,11.66,17.93,37.67,26.01,31.68,0.78,13.55,44.28
15.55131,32.53211,2010,8,20,7.26,19.64,33.96,26.69,30.03,0.6,14.96,53.79
15.55131,32.53211,2010,8,21,12.12,18.7,36.93,24.8,30.17,0.44,14.18,50.55
15.55131,32.53211,2010,8,22,11.46,18.89,36.7,25.24,30.59,0.51,14.43,50.06
15.55131,32.53211,2010,8,23,9.46,21.16,35.39,25.93,30,0.66,16.52,59.27
15.55131,32.53211,2010,8,24,11.68,18.92,36.86,25.18,30.7,1.16,14.39,49.84
15.55131,32.53211,2010,8,25,6.88,19.77,32.7,25.82,28.84,1.66,15.06,58.09
15.55131,32.53211,2010,8,26,9.1,20.27,34.09,24.98,28.95,1.26,15.61,59.66
15.55131,32.53211,2010,8,27,8.25,20.88,33.35,25.09,29.08,2.13,16.2,61.41
15.55131,32.53211,2010,8,28,7.29,20.6,31.52,24.22,27.82,1.31,15.89,64.95
15.55131,32.53211,2010,8,29,10.67,20,35.19,24.52,30.06,0.1,15.31,54.97
15.55131,32.53211,2010,8,30,13.09,18.12,39.32,26.23,32.21,0.1,13.78,43.72
15.55131,32.53211,2010,8,31,12.09,17.99,38.01,25.92,31.17,0.15,13.66,45.93
15.55131,32.53211,2010,9,1,14.31,19.05,38.76,24.44,31.23,0.11,14.56,48.82
15.55131,32.53211,2010,9,2,8.42,20.19,34.65,26.24,30.32,0.35,15.48,54.79
15.55131,32.53211,2010,9,3,9.48,20.21,34.76,25.28,29.91,5.92,15.5,56.19
15.55131,32.53211,2010,9,4,10.63,17.75,36.51,25.88,30.11,2.9,13.64,48.83
15.55131,32.53211,2010,9,5,15.27,15.01,38.74,23.47,30.99,2.62,11.43,38.97
15.55131,32.53211,2010,9,6,13.75,17.32,37.99,24.23,30.73,0.98,13.49,46.64
15.55131,32.53211,2010,9,7,13.53,16.99,38.46,24.93,31.39,1.88,13.08,43.53
15.55131,32.53211,2010,9,8,14.44,17.59,39.29,24.85,31.77,0.2,13.48,43.9
15.55131,32.53211,2010,9,9,10.91,18.55,36.58,25.66,30.22,0.1,14.15,50.35
15.55131,32.53211,2010,9,10,14.86,17.97,39.48,24.62,31.79,0.18,13.66,44.39
15.55131,32.53211,2010,9,11,12.97,16.82,38.77,25.81,31.92,0.04,12.91,41.66
15.55131,32.53211,2010,9,12,12.98,17.15,38.69,25.71,31.98,0.13,12.9,41.53
15.55131,32.53211,2010,9,13,11.97,17.12,37.18,25.21,31.34,0.62,12.85,42.93
15.55131,32.53211,2010,9,14,12.31,17.33,38.67,26.36,31.96,1.42,13.02,41.97
15.55131,32.53211,2010,9,15,12.22,18.23,37.62,25.4,31,0.71,13.8,46.93
15.55131,32.53211,2010,9,16,11.98,18.23,37.89,25.9,31.6,1.35,13.78,45.32
15.55131,32.53211,2010,9,17,12.43,14.26,38.98,26.55,32.21,1.71,11.12,35.45
15.55131,32.53211,2010,9,18,15.43,12.35,39.79,24.36,31.99,0.01,9.89,31.88
15.55131,32.53211,2010,9,19,15.07,12.03,39.58,24.5,32.18,0.1,9.6,30.55
15.55131,32.53211,2010,9,20,13.69,17.37,39.29,25.59,32.36,0.18,13.19,41.52
15.55131,32.53211,2010,9,21,15.72,13.6,41.17,25.45,33.54,0.14,10.48,30.9
15.55131,32.53211,2010,9,22,11.77,18.19,38.9,27.12,32.49,0.25,13.88,43.4
15.55131,32.53211,2010,9,23,10.62,17.4,37.7,27.09,31.94,0.12,13.18,42.57
15.55131,32.53211,2010,9,24,13.21,14.55,38.71,25.5,32.37,0.13,11.18,35.22
15.55131,32.53211,2010,9,25,15.79,15.41,40.41,24.62,32.94,0.19,11.78,35.92
15.55131,32.53211,2010,9,26,11.92,18.75,38.37,26.45,32.2,0.4,14.25,45.34
15.55131,32.53211,2010,9,27,13.3,16.96,39.82,26.52,33.46,0.2,12.76,37.87
15.55131,32.53211,2010,9,28,15.08,11.92,42.01,26.93,34.17,0,9.75,27.79
15.55131,32.53211,2010,9,29,16.41,12.68,41.66,25.24,33.55,0,10,29.46
15.55131,32.53211,2010,9,30,14.01,15.73,40.47,26.45,33.97,0,11.93,34.32
15.55131,32.53211,2010,10,1,10.42,16.91,39.17,28.75,34.2,0,12.73,36.15
15.55131,32.53211,2010,10,2,12.62,15.01,40.63,28,34.57,0,11.45,31.89
15.55131,32.53211,2010,10,3,13.79,12.41,41.2,27.41,34.26,0.01,9.93,28.18
15.55131,32.53211,2010,10,4,15.18,11.2,41.87,26.69,34.18,0,9.19,26.2
15.55131,32.53211,2010,10,5,15.86,10.54,41.85,25.99,33.99,0.01,8.66,24.97
15.55131,32.53211,2010,10,6,15.25,13.25,42.58,27.33,35.06,0.02,10.2,27.66
15.55131,32.53211,2010,10,7,13.39,17.25,41.1,27.71,34.47,0.01,12.96,36.33
15.55131,32.53211,2010,10,8,12.98,14.93,40.9,27.92,34.38,0.24,11.32,31.93
15.55131,32.53211,2010,10,9,14.44,8.8,40.95,26.51,33.92,0.24,7.61,22.07
15.55131,32.53211,2010,10,10,13.88,9.38,40.86,26.98,33.72,0.09,8.25,24.16
15.55131,32.53211,2010,10,11,12.44,10.39,41.39,28.95,34.8,0.02,8.35,23.02
15.55131,32.53211,2010,10,12,15.77,7.18,41.58,25.81,33.46,0.04,6.71,19.99
15.55131,32.53211,2010,10,13,16.11,7.04,41.31,25.19,33.08,0.02,6.57,19.97
15.55131,32.53211,2010,10,14,15.9,11.1,41.97,26.07,34.26,0.08,8.93,25.32
15.55131,32.53211,2010,10,15,14.9,10.69,41.8,26.9,34.28,0.15,8.8,24.93
